CLASS,STNO,STnu,FLATPOSN,STNAME,POSTCODE,MONTH OF SALE,YEAR OF SALE (CALENDAR),YEAR OF SALE (BUSINESS),MONTH AND YEAR,QUARTER_(CALENDAR),ACTUAL PRICE AT POINT OF SALE,RPI,DEFLATOR,PRICE CONSTANT AT July 2013,ORIGINOFBUY,OMIT OR USE,NEWBUILD OR RESALE,LHF
R,490,,13-Mar,"ARGYLE ST,THE ARGYLE BUIL",G2 8AL,1,2013,2012/2013,2013-01-01,2013 Q1,125000,245.8,1.015866558,126983.32,,Use,NEW,Central and West
R,490,,20-Jan,"ARGYLE ST,THE ARGYLE BUIL",G2 8AL,1,2013,2012/2013,2013-01-01,2013 Q1,134500,245.8,1.015866558,136634.05,CHALFONT ST. PETE,Use,NEW,Central and West
R,25,,,"BARHOLM ST,THE BEECHES",G33 5EN,1,2013,2012/2013,2013-01-01,2013 Q1,123995,245.8,1.015866558,125962.37,GLASGOW,Use,NEW,Baillieston Shettleston
R,25,,,BERRYKNOWES DR,G52 2DZ,1,2013,2012/2013,2013-01-01,2013 Q1,150000,245.8,1.015866558,152379.98,GLASGOW,Use,NEW,Govan and Craigton
R,113,,,"BLACKHILL DR,THE GRANGE",G23 5NN,1,2013,2012/2013,2013-01-01,2013 Q1,235000,245.8,1.015866558,238728.64,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,139,,,"BLACKHILL DR,THE GRANGE",G23 2NN,1,2013,2012/2013,2013-01-01,2013 Q1,210000,245.8,1.015866558,213331.98,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,141,,,"BLACKHILL DR,THE GRANGE",G23 5NN,1,2013,2012/2013,2013-01-01,2013 Q1,157000,245.8,1.015866558,159491.05,GLASGOW,Use,NEW,Maryhill Kelvin and Canal
R,2,,01-Jan,"CHESTERFIELD GDNS,GAINSBOR",G12 0BF,1,2013,2012/2013,2013-01-01,2013 Q1,215000,245.8,1.015866558,218411.31,NEWTON MEARNS,Use,NEW,Maryhill Kelvin and Canal
R,14,,,"CHESTERFIELD GDNS,GAINSBOR",G12 0BF,1,2013,2012/2013,2013-01-01,2013 Q1,187956,245.8,1.015866558,190938.21,NAIRN,Use,NEW,Maryhill Kelvin and Canal
R,49,,,"CORTMALAW GATE,CAMPSIE MEADOW",G33 1TH,1,2013,2012/2013,2013-01-01,2013 Q1,299995,245.8,1.015866558,304754.89,BISHOPBRIGGS,Use,NEW,Springburn
R,6,,,"CROFTCROIGHN GATE,THE GLEN",G33 5JJ,1,2013,2012/2013,2013-01-01,2013 Q1,189995,245.8,1.015866558,193009.57,KUWAIT,Use,NEW,Baillieston Shettleston
R,9,,,"CROFTCROIGHN GATE,THE GLEN",G33 5JJ,1,2013,2012/2013,2013-01-01,2013 Q1,179995,245.8,1.015866558,182850.9,GLASGOW,Use,NEW,Baillieston Shettleston
R,1,,,"FAULDHOUSE WAY,RICHMOND GATE",G5 0JB,1,2013,2012/2013,2013-01-01,2013 Q1,179995,245.8,1.015866558,182850.9,BIRMINGHAM,Use,NEW,Pollokshields and Southside Central
R,33,,,"LOGAN GDNS,RICHMOND GATE",G5 0LJ,1,2013,2012/2013,2013-01-01,2013 Q1,166995,245.8,1.015866558,169644.64,GLASGOW,Use,NEW,Pollokshields and Southside Central
