Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003410,City Centre West,Anderston/City,Glasgow Kelvin,1,1,1,1,1,1
S01003373,City Centre West,Anderston/City,Glasgow Kelvin,2,2,4,2,2,2
S01003314,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,15,6,11,4,3,3
S01003358,City Centre East,Anderston/City,Glasgow Kelvin,8,7,12,3,4,4
S01003433,City Centre West,Anderston/City,Glasgow Kelvin,39,30,16,6,6,5
S01003436,Drumoyne and Shieldhall,Govan,Glasgow Govan,241,38,35,52,7,6
S01003232,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,54,111,38,9,16,7
S01003709,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,493,174,45,106,30,8
S01003335,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,289,104,46,61,15,9
S01003156,Battlefield,Langside,Glasgow Cathcart,168,171,65,32,29,10
S01003564,Keppochhill,Canal,Glasgow Maryhill,48,27,73,7,5,11
S01003302,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,68,81,78,11,11,12
S01003159,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,80,89,87,15,12,13
S01003279,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,65,143,93,10,23,14
S01003367,Govan and Linthouse,Govan,Glasgow Govan,23,60,94,5,8,15
S01003273,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,294,191,95,62,34,16
S01003262,Tollcross,Shettleston,Glasgow Shettleston,463,612,96,99,113,17
S01003441,Govan and Linthouse,Govan,Glasgow Govan,158,136,102,29,21,18
S01003653,Milton West,Canal,Glasgow Maryhill,746,1229,109,174,229,19
S01003076,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,1555,314,111,311,60,20
S01003548,Barmulloch,Springburn,Glasgow Springburn,90,73,112,17,9,21
S01003466,Hillhead,Partick West,Glasgow Kelvin,443,250,119,94,48,22
S01003665,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,1007,404,120,217,73,23
S01003328,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,49,133,130,8,20,24
S01003416,City Centre East,Anderston/City,Glasgow Springburn,352,219,132,73,41,25
S01003043,Glenwood North,Linn,Glasgow Cathcart,407,344,134,86,65,26
S01003646,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,171,203,138,34,36,27
S01003176,Strathbungo,Southside Central,Glasgow Govan,74,146,145,14,24,28
S01003111,Nitshill,Greater Pollok,Glasgow Pollok,449,947,154,95,173,29
S01003285,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,188,970,159,37,177,30
S01003263,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,365,380,168,77,69,31
S01003303,Laurieston and Tradeston,Govan,Glasgow Govan,70,137,173,13,22,32
S01003270,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,229,429,175,46,78,33
S01003353,Carntyne West and Haghill,Calton,Glasgow Springburn,901,452,185,197,81,34
S01003389,Carntyne West and Haghill,East Centre,Glasgow Springburn,287,147,189,60,25,35
S01003223,Braidfauld,Shettleston,Glasgow Shettleston,264,393,194,55,70,36
S01003420,North Barlanark and Easterhouse South,North East,Glasgow Baillieston,170,117,196,33,18,37
S01003454,Woodlands,Hillhead,Glasgow Maryhill,1060,323,199,226,63,38
S01003531,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,479,838,205,103,149,39
S01003221,Cardonald South and East,Craigton,Glasgow Pollok,469,602,215,100,111,40
S01003424,Drumoyne and Shieldhall,Govan,Glasgow Govan,1303,486,216,270,85,41
S01003582,Possil Park,Canal,Glasgow Maryhill,126,91,220,26,13,42
S01003313,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,121,185,222,23,32,43
S01003327,Kinning Park and Festival Park,Govan,Glasgow Govan,419,992,238,90,182,44
S01003296,Parkhead West and Barrowfield,Shettleston,Glasgow Shettleston,81,225,242,16,43,45
S01003595,Possil Park,Canal,Glasgow Maryhill,157,190,243,28,33,46
S01003374,Barlanark,Baillieston,Glasgow Baillieston,1181,923,246,247,167,47
S01003605,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,553,165,254,127,26,48
S01003460,Hillhead,Partick West,Glasgow Kelvin,962,245,255,210,47,49
S01003044,Glenwood North,Linn,Glasgow Cathcart,106,271,259,20,50,50
S01003337,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,609,361,261,139,68,51
S01003452,Riddrie and Hogganfield,East Centre,Glasgow Springburn,69,95,264,12,14,52
S01003491,Sighthill,Springburn,Glasgow Springburn,240,1377,266,51,260,53
S01003357,Ibrox,Govan,Glasgow Govan,100,294,269,19,54,54
S01003484,Kelvingrove and University,Hillhead,Glasgow Kelvin,535,487,272,122,86,55
S01003439,City Centre East,Anderston/City,Glasgow Kelvin,209,77,292,41,10,56
S01003707,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,167,256,295,31,49,57
S01003301,Tollcross,Shettleston,Glasgow Shettleston,539,708,301,124,123,58
S01003333,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,254,353,304,53,66,59
S01003604,Ruchill,Maryhill/Kelvin,Glasgow Maryhill,798,293,308,180,53,60
S01003584,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,529,995,315,120,184,61
S01003673,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,341,115,320,69,17,62
S01003364,Govan and Linthouse,Govan,Glasgow Govan,120,169,324,22,28,63
S01003663,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,474,166,334,102,27,64
S01003088,Nitshill,Greater Pollok,Glasgow Pollok,732,924,345,171,168,65
S01003687,Milton East,Canal,Glasgow Maryhill,261,1213,346,54,225,66
S01003541,Petershill,Springburn,Glasgow Springburn,1010,1585,356,218,300,67
S01003403,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,364,175,358,76,31,68
S01003601,Springburn East and Cowlairs,Springburn,Glasgow Springburn,831,396,368,185,71,69
S01003562,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,717,749,371,166,130,70
S01003157,Shawlands West,Pollokshields,Glasgow Govan,404,531,374,84,96,71
S01003390,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,728,558,375,169,101,72
S01003366,City Centre East,Anderston/City,Glasgow Kelvin,521,496,382,117,89,73
S01003473,Woodside,Hillhead,Glasgow Maryhill,666,543,389,157,98,74
S01003191,Govanhill West,Southside Central,Glasgow Shettleston,527,810,390,119,144,75
S01003208,Braidfauld,Calton,Glasgow Shettleston,438,798,391,93,140,76
S01003347,Carntyne West and Haghill,Calton,Glasgow Shettleston,774,1194,396,177,220,77
S01003617,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,511,1222,403,114,228,78
S01003064,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,375,311,404,79,58,79
S01003206,Govanhill West,Southside Central,Glasgow Shettleston,651,1073,408,154,196,80
S01003401,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,1101,1201,417,233,222,81
S01003418,Govan and Linthouse,Govan,Glasgow Govan,1391,305,423,284,56,82
S01003336,Greenfield,Baillieston,Glasgow Baillieston,605,874,425,136,158,83
S01003253,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,1014,1271,436,220,238,84
S01003226,Braidfauld,Calton,Glasgow Shettleston,673,2805,451,158,449,85
S01003316,Ibrox East and Cessnock,Govan,Glasgow Govan,652,466,461,155,82,86
S01003643,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,524,661,464,118,117,87
S01003619,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,1304,751,471,271,132,88
S01003482,Firhill,Hillhead,Glasgow Maryhill,1528,873,473,305,157,89
S01003437,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,470,204,474,101,37,90
S01003593,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Anniesland,320,754,475,65,134,91
S01003596,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,1144,1209,476,240,224,92
S01003419,Craigend and Ruchazie,East Centre,Glasgow Baillieston,308,213,485,64,39,93
S01003428,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,224,624,487,45,114,94
S01003356,Gallowgate North and Bellgrove,Calton,Glasgow Springburn,918,1199,488,203,221,95
S01003160,Crookston North,Greater Pollok,Glasgow Pollok,715,849,489,165,154,96
S01003342,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,405,525,494,85,94,97
S01003158,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,176,485,502,35,84,98
S01003028,Glenwood South,Linn,Glasgow Cathcart,2715,1485,508,467,281,99
S01003075,Kingspark South,Linn,Glasgow Cathcart,3135,974,520,519,178,100
S01003590,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,507,964,522,112,175,101
S01003042,Glenwood North,Linn,Glasgow Cathcart,1540,1002,527,309,185,102
S01003457,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,1161,2576,535,243,419,103
S01003379,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,299,220,536,63,42,104
S01003387,Carntyne West and Haghill,East Centre,Glasgow Springburn,509,1311,544,113,246,105
