Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,geographic_access_deprivation_rank_2004,geographic_access_deprivation_rank_2006,geographic_access_deprivation_rank_2009,geographic_access_deprivation_rank_2012,geographic_access_local_rank_2004,geographic_access_local_rank_2006,geographic_access_local_rank_2009,geographic_access_local_rank_2012
S01003710,Summerston Central and West,Canal,Glasgow Maryhill,2264,2092,1342,840,78,37,5,1
S01003196,Maxwell Park,Pollokshields,Glasgow Govan,1112,2043,1524,927,15,35,8,2
S01003171,Maxwell Park,Pollokshields,Glasgow Govan,908,2866,1594,939,6,83,12,3
S01003362,Penilee,Craigton,Glasgow Pollok,1295,2004,2351,982,19,33,45,4
S01003588,Robroyston and Millerston,North East,Glasgow Springburn,1908,1144,1582,1032,48,3,10,5
S01003076,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,2103,2864,2641,1090,66,82,63,6
S01003394,Easterhouse East,North East,Glasgow Baillieston,1711,1585,1834,1097,41,14,16,7
S01003193,Baillieston East,Baillieston,Glasgow Baillieston,1011,1873,1347,1104,10,24,6,8
S01003209,Mosspark,Craigton,Glasgow Pollok,4136,2622,1587,1174,276,66,11,9
S01003025,Carmunnock South,Linn,Glasgow Cathcart,3166,2172,1120,1176,163,41,2,10
S01003031,Glenwood South,Linn,Glasgow Cathcart,1276,2406,3015,1245,18,51,84,11
S01003229,Pollokshields West,Pollokshields,Glasgow Govan,842,2728,2168,1295,4,75,30,12
S01003037,Darnley West,Greater Pollok,Glasgow Pollok,3114,1005,1288,1363,158,2,4,13
S01003502,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,1257,1496,1557,1368,17,9,9,14
S01003203,Mosspark,Craigton,Glasgow Pollok,3273,2662,1957,1409,170,72,22,15
S01003026,Carmunnock South,Linn,Glasgow Cathcart,2005,2610,1738,1461,58,65,15,16
S01003405,Easterhouse East,North East,Glasgow Baillieston,1884,2286,2823,1479,47,46,71,17
S01003669,Milton West,Canal,Glasgow Maryhill,2481,2137,2170,1494,93,39,31,18
S01003686,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,2774,1645,1872,1663,124,17,17,19
S01003656,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,3778,1726,2215,1667,228,19,35,20
S01003701,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,1445,1875,2562,1703,24,25,59,21
S01003350,Penilee,Craigton,Glasgow Pollok,2021,2956,3496,1760,59,90,123,22
S01003158,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,3453,2201,4107,1773,187,44,200,23
S01003660,Robroyston and Millerston,North East,Glasgow Springburn,873,1658,2086,1805,5,18,24,24
S01003696,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,2261,1801,1935,1817,77,23,19,25
S01003718,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,2750,3535,2237,1822,120,153,37,26
