Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,health_deprivation_rank_2004,health_deprivation_rank_2006,health_deprivation_rank_2009,health_deprivation_rank_2012,health_local_rank_2004,health_local_rank_2006,health_local_rank_2009,health_local_rank_2012
S01003313,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,3,2,5,1,3,1,3,1
S01003582,Possil Park,Canal,Glasgow Maryhill,1,3,3,2,1,2,1,2
S01003253,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,20,22,6,3,19,15,4,3
S01003579,Keppochhill,Canal,Glasgow Maryhill,30,28,32,6,27,20,22,4
S01003367,Govan and Linthouse,Govan,Glasgow Govan,33,46,20,7,30,32,13,5
S01003401,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,103,60,21,8,87,40,14,6
S01003390,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,42,12,10,9,38,8,7,7
S01003217,Dalmarnock,Calton,Glasgow Shettleston,2,103,37,10,2,65,27,8
S01003202,Toryglen and Oatlands,Southside Central,Glasgow Shettleston,92,194,51,11,80,116,34,9
S01003424,Drumoyne and Shieldhall,Govan,Glasgow Govan,215,134,93,12,160,85,58,10
S01003232,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,10,5,42,13,10,4,31,11
S01003402,Central Easterhouse,North East,Glasgow Baillieston,226,57,45,15,166,39,32,12
S01003666,Milton West,Canal,Glasgow Maryhill,136,33,17,16,109,25,11,13
S01003416,City Centre East,Anderston/City,Glasgow Springburn,201,480,165,18,152,227,88,14
S01003044,Glenwood North,Linn,Glasgow Cathcart,32,19,16,20,29,13,10,15
S01003309,Old Shettleston and Parkhead North,Shettleston,Glasgow Shettleston,154,31,33,21,121,23,23,16
S01003564,Keppochhill,Canal,Glasgow Maryhill,7,4,8,22,7,3,5,17
S01003565,Springburn,Springburn,Glasgow Springburn,231,96,29,27,170,61,19,18
S01003347,Carntyne West and Haghill,Calton,Glasgow Shettleston,37,27,52,28,34,19,35,19
S01003342,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,12,72,30,33,12,47,20,20
S01003246,Shettleston North,Shettleston,Glasgow Shettleston,57,147,106,35,49,93,64,21
S01003337,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,54,91,39,36,46,58,29,22
S01003444,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,36,64,25,37,33,43,16,23
S01003540,Keppochhill,Canal,Glasgow Maryhill,11,18,38,38,11,12,28,24
S01003418,Govan and Linthouse,Govan,Glasgow Govan,74,120,105,39,64,77,63,25
S01003314,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,55,21,41,42,47,14,30,26
S01003455,Craigend and Ruchazie,North East,Glasgow Baillieston,133,76,31,43,107,50,21,27
S01003439,City Centre East,Anderston/City,Glasgow Kelvin,69,207,221,44,60,123,110,28
S01003653,Milton West,Canal,Glasgow Maryhill,207,56,67,45,156,38,42,29
S01003489,Blackhill and Barmulloch East,North East,Glasgow Springburn,107,30,27,47,89,22,18,30
S01003351,Ibrox East and Cessnock,Govan,Glasgow Govan,163,230,312,48,127,135,152,31
S01003600,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,162,304,108,50,126,166,65,32
S01003273,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,118,121,64,51,97,78,40,33
S01003293,Shettleston North,Shettleston,Glasgow Shettleston,153,189,137,52,120,113,73,34
S01003296,Parkhead West and Barrowfield,Shettleston,Glasgow Shettleston,35,15,26,55,32,11,17,35
S01003673,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,75,104,24,57,65,66,15,36
S01003553,Keppochhill,Canal,Glasgow Maryhill,72,38,118,58,63,28,68,37
S01003595,Possil Park,Canal,Glasgow Maryhill,19,11,9,60,18,7,6,38
S01003043,Glenwood North,Linn,Glasgow Cathcart,128,14,11,62,104,10,8,39
S01003208,Braidfauld,Calton,Glasgow Shettleston,39,87,57,63,36,55,36,40
S01003709,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,49,125,72,66,44,81,45,41
S01003036,Glenwood South,Linn,Glasgow Cathcart,28,35,34,67,25,26,24,42
S01003376,Barlanark,Baillieston,Glasgow Baillieston,315,136,210,70,217,86,105,43
S01003711,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,454,198,58,72,273,118,37,44
S01003488,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,63,84,103,73,55,54,61,45
S01003353,Carntyne West and Haghill,Calton,Glasgow Springburn,100,221,218,74,85,129,108,46
S01003111,Nitshill,Greater Pollok,Glasgow Pollok,305,209,182,75,212,124,95,47
S01003441,Govan and Linthouse,Govan,Glasgow Govan,108,54,92,77,90,37,57,48
S01003028,Glenwood South,Linn,Glasgow Cathcart,124,112,197,81,101,72,102,49
S01003379,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,58,41,84,82,50,30,51,50
S01003354,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,191,117,104,85,146,75,62,51
S01003055,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,346,359,171,87,231,191,90,52
S01003435,Central Easterhouse,North East,Glasgow Baillieston,87,29,50,88,75,21,33,53
S01003397,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,408,68,15,90,256,44,9,54
S01003343,Barlanark,Baillieston,Glasgow Baillieston,134,52,157,95,108,36,83,55
S01003244,Baillieston East,Baillieston,Glasgow Baillieston,253,253,319,96,182,146,155,56
S01003428,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,9,26,60,97,9,18,38,57
S01003088,Nitshill,Greater Pollok,Glasgow Pollok,442,311,188,98,271,168,97,58
S01003245,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,38,51,74,99,35,35,47,59
S01003336,Greenfield,Baillieston,Glasgow Baillieston,132,114,117,100,106,73,67,60
S01003346,Craigton,Govan,Glasgow Govan,430,374,223,102,266,193,111,61
S01003251,Dalmarnock,Calton,Glasgow Shettleston,43,157,149,105,39,95,79,62
S01003573,Springburn,Springburn,Glasgow Springburn,338,556,277,106,227,251,139,63
S01003364,Govan and Linthouse,Govan,Glasgow Govan,29,44,330,107,26,31,161,64
S01003140,Crookston South,Greater Pollok,Glasgow Pollok,246,144,287,108,176,91,144,65
S01003331,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,117,101,71,110,96,64,44,66
S01003572,Springburn,Springburn,Glasgow Springburn,62,169,193,114,54,101,100,67
S01003456,Central Easterhouse,North East,Glasgow Baillieston,65,13,19,115,57,9,12,68
S01003486,Riddrie and Hogganfield,North East,Glasgow Springburn,114,39,36,120,93,29,26,69
S01003064,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,115,130,161,121,94,82,85,70
S01003184,Pollok North and East,Craigton,Glasgow Pollok,70,82,69,122,61,53,43,71
S01003225,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,175,242,270,123,133,138,136,72
S01003644,Springburn,Springburn,Glasgow Springburn,468,409,262,124,281,206,132,73
S01003049,Castlemilk,Linn,Glasgow Cathcart,105,231,252,125,88,136,127,74
S01003181,Pollok North and East,Craigton,Glasgow Pollok,433,506,204,126,267,234,103,75
S01003349,Drumoyne and Shieldhall,Govan,Glasgow Govan,85,142,144,127,73,89,76,76
S01003611,Springburn East and Cowlairs,Springburn,Glasgow Springburn,77,247,191,129,66,142,98,77
S01003400,Carntyne,East Centre,Glasgow Springburn,638,543,329,130,332,247,160,78
S01003665,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,80,80,90,134,69,52,55,79
S01003121,Crookston South,Greater Pollok,Glasgow Pollok,116,173,62,136,95,104,39,80
S01003388,Ibrox,Govan,Glasgow Govan,34,77,85,138,31,51,52,81
S01003567,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,121,178,278,139,98,107,140,82
S01003279,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,60,37,4,140,52,27,2,83
S01003386,Drumoyne and Shieldhall,Govan,Glasgow Govan,371,509,347,144,242,236,169,84
S01003333,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,5,9,121,147,5,5,69,85
S01003076,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,462,694,138,148,278,286,74,86
S01003299,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,61,118,35,150,53,76,25,87
S01003205,Dalmarnock,Calton,Glasgow Shettleston,4,10,73,151,4,6,46,88
S01003629,Possil Park,Canal,Glasgow Maryhill,78,229,295,153,67,134,147,89
