Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,housing_local_rank_2004,housing_local_rank_2006,housing_local_rank_2009,housing_local_rank_2012
S01003404,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,1,1,1,1,1,1,1,1
S01003717,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,2,2,2,2,2,2,2,2
S01003192,Strathbungo,Southside Central,Glasgow Govan,3,3,3,3,3,3,3,3
S01003470,Hillhead,Partick West,Glasgow Kelvin,4,4,4,4,4,4,4,4
S01003379,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,5,5,5,5,5,5,5,5
S01003716,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,6,6,6,6,6,6,6,6
S01003680,Milton East,Canal,Glasgow Maryhill,7,7,7,7,7,7,7,7
S01003713,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,8,8,8,8,8,8,8,8
S01003702,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,9,9,9,9,9,9,9,9
S01003322,Ibrox East and Cessnock,Govan,Glasgow Govan,10,10,10,10,10,10,10,10
S01003179,Govanhill West,Southside Central,Glasgow Shettleston,11,11,11,11,11,11,11,11
S01003189,Govanhill West,Southside Central,Glasgow Shettleston,15,15,15,15,12,12,12,12
S01003578,Barmulloch,North East,Glasgow Springburn,16,16,16,16,13,13,13,13
S01003434,Central Easterhouse,North East,Glasgow Baillieston,17,17,17,17,14,14,14,14
S01003653,Milton West,Canal,Glasgow Maryhill,18,18,18,18,15,15,15,15
S01003666,Milton West,Canal,Glasgow Maryhill,20,20,20,20,16,16,16,16
S01003456,Central Easterhouse,North East,Glasgow Baillieston,21,21,21,21,17,17,17,17
S01003319,Craigton,Govan,Glasgow Govan,24,24,24,24,18,18,18,18
S01003707,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,26,26,26,26,19,19,19,19
S01003279,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,27,27,27,27,20,20,20,20
S01003222,Pollokshields East,Pollokshields,Glasgow Govan,29,29,29,29,21,21,21,21
S01003657,Milton East,Canal,Glasgow Maryhill,30,30,30,30,22,22,22,22
S01003706,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,31,31,31,31,23,23,23,23
S01003200,Govanhill West,Southside Central,Glasgow Shettleston,34,34,34,34,24,24,24,24
S01003183,Strathbungo,Southside Central,Glasgow Govan,35,35,35,35,25,25,25,25
S01003140,Crookston South,Greater Pollok,Glasgow Pollok,36,36,36,36,26,26,26,26
S01003207,Pollokshields East,Pollokshields,Glasgow Govan,37,37,37,37,27,27,27,27
S01003227,Pollokshields East,Pollokshields,Glasgow Govan,39,39,39,39,28,28,28,28
S01003540,Keppochhill,Canal,Glasgow Maryhill,41,41,41,41,29,29,29,29
S01003424,Drumoyne and Shieldhall,Govan,Glasgow Govan,44,44,44,44,30,30,30,30
S01003689,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,45,45,45,45,31,31,31,31
S01003394,Easterhouse East,North East,Glasgow Baillieston,46,46,46,46,32,32,32,32
S01003167,Pollok South and West,Greater Pollok,Glasgow Pollok,47,47,47,47,33,33,33,33
S01003098,Cathcart,Langside,Glasgow Cathcart,48,48,48,48,34,34,34,34
S01003108,Cathcart,Langside,Glasgow Cathcart,49,49,49,49,35,35,35,35
S01003523,Craigend and Ruchazie,North East,Glasgow Baillieston,51,51,51,51,36,36,36,36
S01003188,Govanhill West,Southside Central,Glasgow Shettleston,52,52,52,52,37,37,37,37
S01003116,Cathcart,Langside,Glasgow Cathcart,53,53,53,53,38,38,38,38
S01003351,Ibrox East and Cessnock,Govan,Glasgow Govan,54,54,54,54,39,39,39,39
S01003324,Ibrox East and Cessnock,Govan,Glasgow Govan,57,57,57,57,40,40,40,40
S01003557,Barmulloch,North East,Glasgow Springburn,58,58,58,58,41,41,41,41
S01003236,Pollokshields West,Pollokshields,Glasgow Govan,59,59,59,59,42,42,42,42
S01003387,Carntyne West and Haghill,East Centre,Glasgow Springburn,60,60,60,60,43,43,43,43
S01003389,Carntyne West and Haghill,East Centre,Glasgow Springburn,61,61,61,61,44,44,44,44
S01003304,Kingston West and Dumbreck,Govan,Glasgow Govan,62,62,62,62,45,45,45,45
S01003474,Woodlands,Hillhead,Glasgow Maryhill,63,63,63,63,46,46,46,46
S01003479,Hillhead,Partick West,Glasgow Kelvin,64,64,64,64,47,47,47,47
S01003483,Craigend and Ruchazie,North East,Glasgow Baillieston,65,65,65,65,48,48,48,48
S01003709,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,66,66,66,66,49,49,49,49
S01003342,Gallowgate North and Bellgrove,Calton,Glasgow Shettleston,69,69,69,69,50,50,50,50
S01003401,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,69,69,69,69,50,50,50,50
S01003468,Woodlands,Hillhead,Glasgow Maryhill,70,70,70,70,52,52,52,52
S01003274,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,71,71,71,71,53,53,53,53
S01003491,Sighthill,Springburn,Glasgow Springburn,73,73,73,73,54,54,54,54
S01003371,Dennistoun,East Centre,Glasgow Springburn,74,74,74,74,55,55,55,55
S01003181,Pollok North and East,Craigton,Glasgow Pollok,75,75,75,75,56,56,56,56
S01003185,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,76,76,76,76,57,57,57,57
S01003441,Govan and Linthouse,Govan,Glasgow Govan,77,77,77,77,58,58,58,58
S01003477,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,79,79,79,79,59,59,59,59
S01003414,Easterhouse East,North East,Glasgow Baillieston,80,80,80,80,60,60,60,60
S01003420,North Barlanark and Easterhouse South,North East,Glasgow Baillieston,83,83,83,83,61,61,61,61
S01003302,Laurieston and Tradeston,Southside Central,Glasgow Shettleston,85,85,85,85,62,62,62,62
S01003077,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,86,86,86,86,63,63,63,63
S01003600,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,87,87,87,87,64,64,64,64
S01003444,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,88,88,88,88,65,65,65,65
S01003478,Hillhead,Partick West,Glasgow Kelvin,89,89,89,89,66,66,66,66
S01003058,Darnley West,Greater Pollok,Glasgow Pollok,90,90,90,90,67,67,67,67
S01003499,Partick,Partick West,Glasgow Kelvin,91,91,91,91,68,68,68,68
S01003435,Central Easterhouse,North East,Glasgow Baillieston,92,92,92,92,69,69,69,69
S01003320,Kinning Park and Festival Park,Govan,Glasgow Govan,93,93,93,93,70,70,70,70
S01003466,Hillhead,Partick West,Glasgow Kelvin,95,95,95,95,71,71,71,71
S01003502,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,97,97,97,97,72,72,72,72
S01003465,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,99,99,99,99,73,73,73,73
S01003332,Barlanark,Baillieston,Glasgow Baillieston,102,102,102,102,74,74,74,74
S01003117,Battlefield,Langside,Glasgow Cathcart,103,103,103,103,75,75,75,75
S01003449,City Centre West,Anderston/City,Glasgow Kelvin,104,104,104,104,76,76,76,76
S01003519,Firhill,Hillhead,Glasgow Maryhill,105,105,105,105,77,77,77,77
S01003703,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,106,106,106,106,78,78,78,78
S01003531,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,107,107,107,107,79,79,79,79
S01003604,Ruchill,Maryhill/Kelvin,Glasgow Maryhill,108,108,108,108,80,80,80,80
S01003704,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,109,109,109,109,81,81,81,81
S01003376,Barlanark,Baillieston,Glasgow Baillieston,110,110,110,110,82,82,82,82
S01003402,Central Easterhouse,North East,Glasgow Baillieston,111,111,111,111,83,83,83,83
S01003650,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,112,112,112,112,84,84,84,84
S01003172,Strathbungo,Southside Central,Glasgow Shettleston,113,113,113,113,85,85,85,85
S01003166,Shawlands West,Pollokshields,Glasgow Govan,114,114,114,114,86,86,86,86
S01003182,Pollok North and East,Greater Pollok,Glasgow Pollok,116,116,116,116,87,87,87,87
S01003415,City Centre East,Anderston/City,Glasgow Kelvin,116,116,116,116,87,87,87,87
S01003397,North Barlanark and Easterhouse South,Baillieston,Glasgow Baillieston,118,118,118,118,89,89,89,89
S01003505,Sighthill,Springburn,Glasgow Springburn,119,119,119,119,90,90,90,90
S01003198,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,120,120,120,120,91,91,91,91
S01003433,City Centre West,Anderston/City,Glasgow Kelvin,121,121,121,121,92,92,92,92
S01003496,Partick,Partick West,Glasgow Kelvin,122,122,122,122,93,93,93,93
S01003184,Pollok North and East,Craigton,Glasgow Pollok,125,125,125,125,94,94,94,94
S01003487,Woodlands,Hillhead,Glasgow Maryhill,126,126,126,126,95,95,95,95
S01003262,Tollcross,Shettleston,Glasgow Shettleston,127,127,127,127,96,96,96,96
S01003142,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,129,129,129,129,97,97,97,97
S01003521,Kelvingrove and University,Hillhead,Glasgow Kelvin,131,131,131,131,98,98,98,98
S01003446,City Centre West,Anderston/City,Glasgow Kelvin,132,132,132,132,99,99,99,99
S01003447,City Centre East,Anderston/City,Glasgow Kelvin,134,134,134,134,100,100,100,100
S01003705,Drumchapel South,Drumchapel/Anniesland,Glasgow Anniesland,135,135,135,135,101,101,101,101
S01003635,Anniesland East,Drumchapel/Anniesland,Glasgow Anniesland,136,136,136,136,102,102,102,102
S01003672,Milton East,Canal,Glasgow Maryhill,137,137,137,137,103,103,103,103
S01003176,Strathbungo,Southside Central,Glasgow Govan,138,138,138,138,104,104,104,104
S01003343,Barlanark,Baillieston,Glasgow Baillieston,139,139,139,139,105,105,105,105
S01003174,Govanhill West,Southside Central,Glasgow Shettleston,140,140,140,140,106,106,106,106
S01003551,Petershill,Springburn,Glasgow Springburn,141,141,141,141,107,107,107,107
S01003249,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,142,142,142,142,108,108,108,108
S01003231,Baillieston West,Baillieston,Glasgow Baillieston,145,145,145,145,109,109,109,109
S01003031,Glenwood South,Linn,Glasgow Cathcart,146,146,146,146,110,110,110,110
S01003485,Woodlands,Hillhead,Glasgow Maryhill,148,148,148,148,111,111,111,111
S01003640,Milton West,Canal,Glasgow Maryhill,149,149,149,149,112,112,112,112
S01003501,Kelvingrove and University,Hillhead,Glasgow Kelvin,151,151,151,151,113,113,113,113
S01003299,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,153,153,153,153,114,114,114,114
S01003584,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,154,154,154,154,115,115,115,115
S01003512,Craigend and Ruchazie,North East,Glasgow Baillieston,155,155,155,155,116,116,116,116
S01003429,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,156,156,156,156,117,117,117,117
S01003418,Govan and Linthouse,Govan,Glasgow Govan,157,157,157,157,118,118,118,118
S01003486,Riddrie and Hogganfield,North East,Glasgow Springburn,158,158,158,158,119,119,119,119
S01003581,Ruchill,Canal,Glasgow Maryhill,159,159,159,159,120,120,120,120
S01003419,Craigend and Ruchazie,East Centre,Glasgow Baillieston,161,161,161,161,121,121,121,121
S01003211,Pollokshields East,Pollokshields,Glasgow Govan,166,166,166,166,122,122,122,122
