Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,overall_deprivation_rank_2004,overall_deprivation_rank_2006,overall_deprivation_rank_2009,overall_deprivation_rank_2012,overall_local_rank_2004,overall_local_rank_2006,overall_local_rank_2009,overall_local_rank_2012
S01003025,Carmunnock South,Linn,Glasgow Cathcart,4812,4766,4557,4963,635,614,601,619
S01003026,Carmunnock South,Linn,Glasgow Cathcart,1507,1468,502,920,423,383,209,282
S01003027,Darnley East,Greater Pollok,Glasgow Pollok,4251,4739,4989,5378,606,612,628,648
S01003028,Glenwood South,Linn,Glasgow Cathcart,94,123,277,122,80,77,139,69
S01003029,Carmunnock South,Linn,Glasgow Cathcart,49,156,253,392,44,95,123,170
S01003030,Glenwood South,Linn,Glasgow Cathcart,70,480,483,533,61,223,202,204
S01003031,Glenwood South,Linn,Glasgow Cathcart,92,2755,3595,3870,78,503,546,557
S01003032,Glenwood South,Linn,Glasgow Cathcart,141,435,384,523,115,211,177,202
S01003033,Glenwood South,Linn,Glasgow Cathcart,152,171,321,345,124,106,156,156
S01003034,Darnley East,Greater Pollok,Glasgow Pollok,2752,3398,2989,3175,525,537,502,510
S01003035,Glenwood South,Linn,Glasgow Cathcart,112,229,296,295,94,127,148,143
S01003036,Glenwood South,Linn,Glasgow Cathcart,50,72,77,56,45,49,47,35
S01003037,Darnley West,Greater Pollok,Glasgow Pollok,3283,3453,3357,3997,558,540,526,564
S01003038,Darnley West,Greater Pollok,Glasgow Pollok,4660,4746,3828,4057,627,613,560,569
S01003039,Darnley East,Greater Pollok,Glasgow Pollok,277,429,364,614,198,209,170,225
S01003040,Castlemilk,Linn,Glasgow Cathcart,577,978,864,609,306,331,284,224
S01003041,Darnley West,Greater Pollok,Glasgow Pollok,3990,3782,3279,3930,596,561,519,563
S01003042,Glenwood North,Linn,Glasgow Cathcart,42,67,62,62,37,46,40,38
S01003043,Glenwood North,Linn,Glasgow Cathcart,35,3,6,22,31,2,5,15
S01003044,Glenwood North,Linn,Glasgow Cathcart,27,53,72,64,24,36,45,39
S01003045,Darnley East,Greater Pollok,Glasgow Pollok,326,374,315,334,227,188,152,152
S01003046,Glenwood North,Linn,Glasgow Cathcart,507,892,1304,1266,284,313,350,334
S01003047,Carmunnock South,Linn,Glasgow Cathcart,200,277,193,132,158,148,101,73
S01003048,Castlemilk,Linn,Glasgow Cathcart,247,368,378,280,181,187,175,138
S01003049,Castlemilk,Linn,Glasgow Cathcart,106,151,82,74,89,91,48,45
S01003050,Carmunnock North,Linn,Glasgow Cathcart,4341,4993,5142,5407,614,629,637,652
S01003051,Darnley North,Greater Pollok,Glasgow Pollok,710,854,900,1287,337,307,288,339
S01003052,Castlemilk,Linn,Glasgow Cathcart,221,261,400,264,169,141,181,132
S01003053,Darnley North,Greater Pollok,Glasgow Pollok,2094,2908,2754,2624,488,511,483,473
S01003054,Castlemilk,Linn,Glasgow Cathcart,1993,1704,1581,1414,474,407,380,355
S01003055,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,187,352,330,222,150,182,159,115
S01003056,Darnley East,Greater Pollok,Glasgow Pollok,165,147,293,260,134,89,147,130
S01003057,Castlemilk,Linn,Glasgow Cathcart,3150,2647,2384,2369,551,494,457,456
S01003058,Darnley West,Greater Pollok,Glasgow Pollok,314,885,1039,1364,221,310,312,349
S01003059,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,5304,5504,5401,5659,660,663,651,662
S01003060,Glenwood North,Linn,Glasgow Cathcart,123,512,916,1205,102,236,291,326
S01003061,Carmunnock North,Linn,Glasgow Cathcart,4609,5017,5234,5046,624,631,643,624
S01003062,Darnley North,Greater Pollok,Glasgow Pollok,2069,1933,2081,2132,483,430,432,424
S01003063,Castlemilk,Linn,Glasgow Cathcart,2290,3263,2746,2258,499,526,482,440
S01003064,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,140,190,270,174,114,113,135,92
S01003065,Muirend and Old Cathcart,Linn,Glasgow Cathcart,3032,3884,3449,3180,546,566,534,511
S01003066,Muirend and Old Cathcart,Linn,Glasgow Cathcart,5249,6008,6095,6050,657,676,679,679
S01003067,Carmunnock North,Linn,Glasgow Cathcart,4179,4312,4421,4163,604,592,593,574
S01003068,Carmunnock North,Linn,Glasgow Cathcart,5588,5413,5449,6054,674,656,655,680
S01003069,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,1470,1969,2279,2166,421,436,449,429
S01003070,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,1710,2569,2398,2092,447,484,459,423
S01003071,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,5897,6279,5522,5694,681,687,661,666
S01003072,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,500,890,651,551,282,312,242,210
S01003073,Kingspark South,Linn,Glasgow Cathcart,3717,4145,3038,3194,586,584,506,512
S01003074,Newlands,Newlands/Auldburn,Glasgow Cathcart,6106,6322,6123,5886,686,689,680,673
S01003075,Kingspark South,Linn,Glasgow Cathcart,2486,2560,1988,1999,509,482,426,415
S01003076,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,166,355,44,14,135,183,32,10
S01003077,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,592,1351,1288,1027,309,373,349,299
S01003078,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,3593,4378,4413,3596,580,597,591,535
S01003079,Muirend and Old Cathcart,Linn,Glasgow Cathcart,4485,5194,4980,4728,617,644,627,600
S01003080,Kingspark South,Linn,Glasgow Cathcart,3419,3947,3528,2930,565,571,542,495
S01003081,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,4329,4985,4337,4851,612,627,586,609
S01003082,Nitshill,Greater Pollok,Glasgow Pollok,213,130,256,230,165,81,125,118
S01003083,Nitshill,Greater Pollok,Glasgow Pollok,558,381,488,405,302,192,205,174
S01003084,Nitshill,Greater Pollok,Glasgow Pollok,176,257,267,368,142,139,132,165
S01003085,Cathcart,Linn,Glasgow Cathcart,5260,5072,5128,5485,658,634,636,654
